year,state,state_min_wage,fed_min_wage
2012,OR,8.8,7.25
2012,PA,7.25,7.25
2012,PR,0.0,7.25
2012,RI,7.4,7.25
2012,SC,0.0,7.25
2012,SD,7.25,7.25
2012,TN,0.0,7.25
2012,TX,7.25,7.25
2012,VI,4.3,7.25
2012,UT,7.25,7.25
2012,VT,8.46,7.25
2012,VA,7.25,7.25
2012,WA,9.04,7.25
2012,WV,7.25,7.25
2012,WI,7.25,7.25
2012,WY,5.15,7.25
2013,AL,0.0,7.25
2013,AK,7.75,7.25
2013,AZ,7.8,7.25
2013,AR,6.25,7.25
2013,CA,8.0,7.25
2013,CO,7.78,7.25
2013,CT,8.25,7.25
2013,DE,7.25,7.25
2013,DC,8.25,7.25
2013,FL,7.79,7.25
2013,GA,5.15,7.25
2013,GU,7.25,7.25
2013,HI,7.25,7.25
2013,ID,7.25,7.25
2013,IL,8.25,7.25
2013,IN,7.25,7.25
2013,IA,7.25,7.25
2013,KS,7.25,7.25
2013,KY,7.25,7.25
2013,LA,0.0,7.25
2013,ME,7.5,7.25
2013,MD,7.25,7.25
2013,MA,8.0,7.25
2013,MI,7.4,7.25
2013,MN,5.25,7.25
2013,MS,0.0,7.25
2013,MO,7.35,7.25
2013,MT,4.0,7.25
2013,NE,7.25,7.25
2013,NV,7.25,7.25
2013,NH,7.25,7.25
2013,NJ,7.25,7.25
2013,NM,7.5,7.25
2013,NY,7.25,7.25
2013,NC,7.25,7.25
2013,ND,7.25,7.25
2013,OH,7.85,7.25
2013,OK,2.0,7.25
2013,OR,8.95,7.25
2013,PA,7.25,7.25
2013,PR,0.0,7.25
2013,RI,7.75,7.25
2013,SC,0.0,7.25
2013,SD,7.25,7.25
2013,TN,0.0,7.25
2013,TX,7.25,7.25
2013,VI,4.3,7.25
2013,UT,7.25,7.25
2013,VT,8.6,7.25
2013,VA,7.25,7.25
2013,WA,9.19,7.25
2013,WV,7.25,7.25
2013,WI,7.25,7.25
2013,WY,5.15,7.25
2014,AL,0.0,7.25
2014,AK,7.75,7.25
2014,AZ,7.9,7.25
2014,AR,6.25,7.25
2014,CA,9.0,7.25
2014,CO,8.0,7.25
2014,CT,8.7,7.25
2014,DE,7.75,7.25
2014,DC,9.5,7.25
2014,FL,7.93,7.25
2014,GA,5.15,7.25
2014,GU,7.25,7.25
2014,HI,7.25,7.25
2014,ID,7.25,7.25
2014,IL,8.25,7.25
2014,IN,7.25,7.25
2014,IA,7.25,7.25
2014,KS,7.25,7.25
2014,KY,7.25,7.25
2014,LA,0.0,7.25
2014,ME,7.5,7.25
2014,MD,7.25,7.25
2014,MA,8.0,7.25
2014,MI,8.15,7.25
2014,MN,6.5,7.25
2014,MS,0.0,7.25
2014,MO,7.5,7.25
2014,MT,7.9,7.25
2014,NE,7.25,7.25
2014,NV,7.25,7.25
2014,NH,7.25,7.25
2014,NJ,8.25,7.25
2014,NM,7.5,7.25
2014,NY,8.0,7.25
2014,NC,7.25,7.25
2014,ND,7.25,7.25
2014,OH,7.25,7.25
2014,OK,2.0,7.25
2014,OR,9.1,7.25
2014,PA,7.25,7.25
2014,PR,5.08,7.25
2014,RI,8.0,7.25
2014,SC,0.0,7.25
2014,SD,7.25,7.25
2014,TN,0.0,7.25
2014,TX,7.25,7.25
2014,VI,4.3,7.25
2014,UT,7.25,7.25
2014,VT,8.73,7.25
2014,VA,7.25,7.25
2014,WA,9.32,7.25
2014,WV,7.25,7.25
2014,WI,7.25,7.25
2014,WY,5.15,7.25
2015,AL,0.0,7.25
2015,AK,8.75,7.25
2015,AZ,8.05,7.25
2015,AR,7.5,7.25
2015,CA,9.0,7.25
2015,CO,8.23,7.25
2015,CT,9.15,7.25
2015,DE,8.25,7.25
2015,DC,10.5,7.25
2015,FL,8.05,7.25
2015,GA,5.15,7.25
2015,GU,8.25,7.25
2015,HI,7.75,7.25
2015,ID,7.25,7.25
2015,IL,8.25,7.25
2015,IN,7.25,7.25
2015,IA,7.25,7.25
2015,KS,7.25,7.25
2015,KY,7.25,7.25
2015,LA,0.0,7.25
2015,ME,7.5,7.25
2015,MD,8.25,7.25
2015,MA,9.0,7.25
2015,MI,8.15,7.25
2015,MN,7.25,7.25
2015,MS,0.0,7.25
2015,MO,7.65,7.25
2015,MT,8.05,7.25
2015,NE,8.0,7.25
2015,NV,7.25,7.25
2015,NH,7.25,7.25
2015,NJ,8.38,7.25
2015,NM,7.5,7.25
2015,NY,8.75,7.25
2015,NC,7.25,7.25
2015,ND,7.25,7.25
2015,OH,7.25,7.25
2015,OK,2.0,7.25
2015,OR,9.25,7.25
2015,PA,7.25,7.25
2015,PR,5.08,7.25
2015,RI,9.0,7.25
2015,SC,0.0,7.25
2015,SD,8.5,7.25
2015,TN,0.0,7.25
2015,TX,7.25,7.25
2015,VI,4.3,7.25
2015,UT,7.25,7.25
2015,VT,9.15,7.25
2015,VA,7.25,7.25
2015,WA,9.47,7.25
2015,WV,8.0,7.25
2015,WI,7.25,7.25
2015,WY,5.15,7.25
2016,AL,0.0,7.25
2016,AK,9.75,7.25
2016,AZ,8.05,7.25
2016,AR,8.0,7.25
2016,CA,10.0,7.25
2016,CO,8.31,7.25
2016,CT,9.6,7.25
2016,DE,8.25,7.25
2016,DC,11.5,7.25
2016,FL,8.05,7.25
2016,GA,5.15,7.25
2016,GU,8.25,7.25
2016,HI,8.5,7.25
2016,ID,7.25,7.25
2016,IL,8.25,7.25
2016,IN,7.25,7.25
2016,IA,7.25,7.25
2016,KS,7.25,7.25
2016,KY,7.25,7.25
2016,LA,0.0,7.25
2016,ME,7.5,7.25
2016,MD,8.75,7.25
2016,MA,10.0,7.25
2016,MI,8.5,7.25
2016,MN,7.25,7.25
2016,MS,0.0,7.25
2016,MO,7.65,7.25
2016,MT,8.05,7.25
2016,NE,9.0,7.25
2016,NV,7.25,7.25
2016,NH,7.25,7.25
2016,NJ,8.38,7.25
2016,NM,7.5,7.25
2016,NY,9.0,7.25
2016,NC,7.25,7.25
2016,ND,7.25,7.25
2016,OH,7.25,7.25
2016,OK,2.0,7.25
2016,OR,9.75,7.25
2016,PA,7.25,7.25
2016,PR,5.08,7.25
2016,RI,9.6,7.25
2016,SC,0.0,7.25
2016,SD,8.55,7.25
2016,TN,0.0,7.25
2016,TX,7.25,7.25
2016,VI,4.3,7.25
2016,UT,7.25,7.25
2016,VT,9.6,7.25
2016,VA,7.25,7.25
2016,WA,9.47,7.25
2016,WV,8.75,7.25
2016,WI,7.25,7.25
2016,WY,5.15,7.25
2017,AL,0.0,7.25
2017,AK,9.8,7.25
2017,AZ,10.0,7.25
2017,AR,8.5,7.25
2017,CA,10.0,7.25
2017,CO,9.3,7.25
2017,CT,10.1,7.25
2017,DE,8.25,7.25
2017,DC,11.5,7.25
2017,FL,8.1,7.25
2017,GA,5.15,7.25
2017,GU,8.25,7.25
2017,HI,9.25,7.25
2017,ID,7.25,7.25
2017,IL,8.25,7.25
2017,IN,7.25,7.25
2017,IA,7.25,7.25
2017,KS,7.25,7.25
2017,KY,7.25,7.25
2017,LA,0.0,7.25
2017,ME,9.0,7.25
2017,MD,8.75,7.25
2017,MA,11.0,7.25
2017,MI,8.9,7.25
2017,MN,7.75,7.25
2017,MS,0.0,7.25
2017,MO,7.7,7.25
2017,MT,8.15,7.25
2017,NE,9.0,7.25
2017,NV,7.25,7.25
2017,NH,7.25,7.25
2017,NJ,8.44,7.25
2017,NM,7.5,7.25
2017,NY,9.7,7.25
2017,NC,7.25,7.25
2017,ND,7.25,7.25
2017,OH,8.15,7.25
2017,OK,2.0,7.25
2017,OR,9.75,7.25
2017,PA,7.25,7.25
2017,PR,5.08,7.25
2017,RI,9.6,7.25
2017,SC,0.0,7.25
2017,SD,8.65,7.25
2017,TN,0.0,7.25
2017,TX,7.25,7.25
2017,VI,4.3,7.25
2017,UT,7.25,7.25
2017,VT,10.0,7.25
2017,VA,7.25,7.25
2017,WA,11.0,7.25
2017,WV,8.75,7.25
2017,WI,7.25,7.25
2017,WY,5.15,7.25
2018,AL,0.0,7.25
2018,AK,9.84,7.25
2018,AZ,10.5,7.25
2018,AR,8.5,7.25
2018,CA,11.0,7.25
2018,CO,10.2,7.25
2018,CT,10.1,7.25
2018,DE,8.25,7.25
2018,DC,13.25,7.25
2018,FL,8.25,7.25
2018,GA,5.15,7.25
2018,GU,8.25,7.25
2018,HI,10.1,7.25
2018,ID,7.25,7.25
2018,IL,8.25,7.25
2018,IN,7.25,7.25
2018,IA,7.25,7.25
2018,KS,7.25,7.25
2018,KY,7.25,7.25
2018,LA,0.0,7.25
2018,ME,10.0,7.25
2018,MD,10.1,7.25
2018,MA,11.0,7.25
2018,MI,9.25,7.25
2018,MN,8.04,7.25
2018,MS,0.0,7.25
2018,MO,7.85,7.25
2018,MT,8.3,7.25
2018,NE,9.0,7.25
2018,NV,7.25,7.25
2018,NH,7.25,7.25
2018,NJ,8.6,7.25
2018,NM,7.5,7.25
2018,NY,10.4,7.25
2018,NC,7.25,7.25
2018,ND,7.25,7.25
2018,OH,8.3,7.25
2018,OK,2.0,7.25
2018,OR,10.75,7.25
2018,PA,7.25,7.25
2018,PR,5.08,7.25
2018,RI,10.1,7.25
2018,SC,0.0,7.25
2018,SD,8.85,7.25
2018,TN,0.0,7.25
2018,TX,7.25,7.25
2018,VI,4.3,7.25
2018,UT,7.25,7.25
2018,VT,10.5,7.25
2018,VA,7.25,7.25
2018,WA,11.5,7.25
2018,WV,8.75,7.25
2018,WI,7.25,7.25
2018,WY,5.15,7.25
2019,AL,0.0,7.25
2019,AK,10.19,7.25
2019,AZ,12.0,7.25
2019,AR,9.25,7.25
2019,CA,12.0,7.25
2019,CO,12.0,7.25
2019,CT,11.0,7.25
2019,DE,9.25,7.25
2019,DC,14.0,7.25
2019,FL,8.56,7.25
2019,GA,5.15,7.25
2019,GU,8.25,7.25
2019,HI,10.1,7.25
2019,ID,7.25,7.25
2019,IL,9.25,7.25
2019,IN,7.25,7.25
2019,IA,7.25,7.25
2019,KS,7.25,7.25
2019,KY,7.25,7.25
2019,LA,0.0,7.25
2019,ME,12.0,7.25
2019,MD,11.0,7.25
2019,MA,12.75,7.25
2019,MI,9.65,7.25
2019,MN,8.15,7.25
2019,MS,0.0,7.25
2019,MO,9.45,7.25
2019,MT,8.65,7.25
2019,NE,9.0,7.25
2019,NV,7.25,7.25
2019,NH,7.25,7.25
2019,NJ,11.0,7.25
2019,NM,9.0,7.25
2019,NY,11.8,7.25
2019,NC,7.25,7.25
2019,ND,7.25,7.25
2019,OH,8.7,7.25
2019,OK,2.0,7.25
2019,OR,11.25,7.25
2019,PA,7.25,7.25
2019,PR,5.08,7.25
2019,RI,10.5,7.25
2019,SC,0.0,7.25
2019,SD,9.3,7.25
2019,TN,0.0,7.25
2019,TX,7.25,7.25
2019,VI,10.5,7.25
2019,UT,7.25,7.25
2019,VT,10.96,7.25
2019,VA,7.25,7.25
2019,WA,13.5,7.25
2019,WV,8.75,7.25
2019,WI,7.25,7.25
2019,WY,5.15,7.25
2020,AL,0.0,7.25
2020,AK,10.19,7.25
2020,AZ,12.0,7.25
2020,AR,10.0,7.25
2020,CA,13.0,7.25
2020,CO,12.0,7.25
2020,CT,11.0,7.25
2020,DE,9.25,7.25
2020,DC,14.0,7.25
2020,FL,8.56,7.25
2020,GA,5.15,7.25
2020,GU,8.25,7.25
2020,HI,10.1,7.25
2020,ID,7.25,7.25
2020,IL,9.25,7.25
2020,IN,7.25,7.25
2020,IA,7.25,7.25
2020,KS,7.25,7.25
2020,KY,7.25,7.25
2020,LA,0.0,7.25
2020,ME,12.0,7.25
2020,MD,11.0,7.25
2020,MA,12.75,7.25
2020,MI,9.65,7.25
2020,MN,8.15,7.25
2020,MS,0.0,7.25
2020,MO,9.45,7.25
2020,MT,8.65,7.25
